@relation bank-data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Discretize-B10-M3.0-Rfirst-last

@attribute age {'\'(-inf-22.9]\'','\'(22.9-27.8]\'','\'(27.8-32.7]\'','\'(32.7-37.6]\'','\'(37.6-42.5]\'','\'(42.5-47.4]\'','\'(47.4-52.3]\'','\'(52.3-57.2]\'','\'(57.2-62.1]\'','\'(62.1-inf)\''}
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute children {'\'(-inf-0.0]\'','\'(0.0-1.0]\'','\'(1.0-2.0]\'','\'(2.0-3.0]\'','\'(3.0-4.0]\'','\'(4.0-inf)\''}
@attribute married {NO,YES}
@attribute children {'\'(-inf-0.3]\'','\'(0.3-0.6]\'','\'(0.6-0.9]\'','\'(0.9-1.2]\'','\'(1.2-1.5]\'','\'(1.5-1.8]\'','\'(1.8-2.1]\'','\'(2.1-2.4]\'','\'(2.4-2.7]\'','\'(2.7-inf)\''}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
'\'(57.2-62.1]\'',FEMALE,RURAL,'\'(22448.977-28260.566]\'',YES,'\'(1.8-2.1]\'',NO,YES,YES,NO,NO
'\'(-inf-22.9]\'',FEMALE,TOWN,'\'(10825.799-16637.388]\'',YES,'\'(1.8-2.1]\'',NO,YES,NO,NO,NO
'\'(42.5-47.4]\'',MALE,SUBURBAN,'\'(22448.977-28260.566]\'',YES,'\'(0.9-1.2]\'',YES,YES,YES,NO,YES
'\'(32.7-37.6]\'',FEMALE,INNER_CITY,'\'(28260.566-34072.155]\'',NO,'\'(2.7-inf)\'',YES,YES,NO,NO,NO
'\'(42.5-47.4]\'',MALE,SUBURBAN,'\'(34072.155-39883.744]\'',NO,'\'(-inf-0.3]\'',NO,YES,YES,NO,YES
'\'(22.9-27.8]\'',FEMALE,INNER_CITY,'\'(16637.388-22448.977]\'',YES,'\'(1.8-2.1]\'',NO,YES,YES,NO,NO
'\'(-inf-22.9]\'',MALE,RURAL,'\'(10825.799-16637.388]\'',YES,'\'(2.7-inf)\'',YES,YES,YES,NO,NO
'\'(32.7-37.6]\'',FEMALE,RURAL,'\'(10825.799-16637.388]\'',NO,'\'(-inf-0.3]\'',YES,NO,YES,NO,YES
'\'(42.5-47.4]\'',FEMALE,TOWN,'\'(16637.388-22448.977]\'',YES,'\'(-inf-0.3]\'',YES,YES,YES,NO,NO
'\'(62.1-inf)\'',FEMALE,SUBURBAN,'\'(22448.977-28260.566]\'',NO,'\'(1.8-2.1]\'',NO,NO,YES,NO,NO
'\'(52.3-57.2]\'',MALE,TOWN,'\'(22448.977-28260.566]\'',YES,'\'(-inf-0.3]\'',NO,NO,YES,YES,YES
'\'(42.5-47.4]\'',FEMALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(-inf-0.3]\'',YES,NO,YES,NO,NO
'\'(62.1-inf)\'',MALE,TOWN,'\'(51506.922-57318.511]\'',NO,'\'(1.8-2.1]\'',YES,YES,NO,NO,YES
'\'(27.8-32.7]\'',FEMALE,TOWN,'\'(22448.977-28260.566]\'',YES,'\'(-inf-0.3]\'',YES,NO,YES,YES,NO
'\'(-inf-22.9]\'',MALE,INNER_CITY,'\'(10825.799-16637.388]\'',NO,'\'(1.8-2.1]\'',YES,YES,YES,YES,NO
'\'(62.1-inf)\'',MALE,INNER_CITY,'\'(51506.922-57318.511]\'',YES,'\'(1.8-2.1]\'',NO,YES,YES,YES,YES
'\'(47.4-52.3]\'',FEMALE,INNER_CITY,'\'(10825.799-16637.388]\'',NO,'\'(0.9-1.2]\'',YES,YES,YES,NO,YES
'\'(27.8-32.7]\'',MALE,INNER_CITY,'\'(10825.799-16637.388]\'',NO,'\'(1.8-2.1]\'',NO,YES,YES,YES,YES
'\'(47.4-52.3]\'',MALE,INNER_CITY,'\'(34072.155-39883.744]\'',NO,'\'(1.8-2.1]\'',YES,NO,YES,NO,YES
'\'(42.5-47.4]\'',FEMALE,RURAL,'\'(16637.388-22448.977]\'',YES,'\'(1.8-2.1]\'',YES,YES,NO,NO,NO
'\'(22.9-27.8]\'',MALE,TOWN,'\'(10825.799-16637.388]\'',NO,'\'(1.8-2.1]\'',YES,YES,NO,NO,NO
'\'(32.7-37.6]\'',MALE,TOWN,'\'(22448.977-28260.566]\'',YES,'\'(-inf-0.3]\'',NO,NO,NO,NO,NO
'\'(42.5-47.4]\'',MALE,TOWN,'\'(10825.799-16637.388]\'',YES,'\'(0.9-1.2]\'',NO,YES,YES,NO,YES
'\'(47.4-52.3]\'',MALE,SUBURBAN,'\'(28260.566-34072.155]\'',NO,'\'(0.9-1.2]\'',NO,YES,YES,NO,YES
'\'(62.1-inf)\'',MALE,TOWN,'\'(51506.922-57318.511]\'',YES,'\'(-inf-0.3]\'',NO,YES,YES,YES,NO
'\'(47.4-52.3]\'',FEMALE,RURAL,'\'(45695.333-51506.922]\'',NO,'\'(2.7-inf)\'',NO,YES,NO,NO,YES
'\'(57.2-62.1]\'',FEMALE,INNER_CITY,'\'(22448.977-28260.566]\'',NO,'\'(-inf-0.3]\'',NO,NO,YES,NO,YES
'\'(27.8-32.7]\'',MALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(-inf-0.3]\'',NO,YES,YES,NO,YES
'\'(27.8-32.7]\'',FEMALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(-inf-0.3]\'',NO,NO,YES,NO,NO
'\'(32.7-37.6]\'',MALE,INNER_CITY,'\'(22448.977-28260.566]\'',NO,'\'(0.9-1.2]\'',YES,YES,YES,YES,YES
'\'(37.6-42.5]\'',FEMALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(0.9-1.2]\'',NO,YES,YES,YES,YES
'\'(62.1-inf)\'',FEMALE,INNER_CITY,'\'(34072.155-39883.744]\'',NO,'\'(0.9-1.2]\'',YES,NO,YES,NO,YES
'\'(42.5-47.4]\'',MALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(1.8-2.1]\'',NO,YES,YES,NO,NO
'\'(-inf-22.9]\'',MALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(-inf-0.3]\'',NO,YES,NO,NO,NO
'\'(-inf-22.9]\'',MALE,TOWN,'\'(-inf-10825.799]\'',NO,'\'(-inf-0.3]\'',YES,YES,YES,YES,NO
'\'(37.6-42.5]\'',MALE,INNER_CITY,'\'(16637.388-22448.977]\'',YES,'\'(-inf-0.3]\'',NO,YES,YES,NO,NO
'\'(-inf-22.9]\'',MALE,TOWN,'\'(10825.799-16637.388]\'',NO,'\'(1.8-2.1]\'',NO,YES,YES,NO,NO
'\'(37.6-42.5]\'',FEMALE,TOWN,'\'(34072.155-39883.744]\'',NO,'\'(-inf-0.3]\'',NO,YES,YES,YES,NO
'\'(27.8-32.7]\'',MALE,TOWN,'\'(16637.388-22448.977]\'',NO,'\'(1.8-2.1]\'',NO,YES,YES,NO,NO
'\'(27.8-32.7]\'',FEMALE,RURAL,'\'(-inf-10825.799]\'',YES,'\'(1.8-2.1]\'',NO,NO,YES,NO,YES
'\'(22.9-27.8]\'',MALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(2.7-inf)\'',YES,YES,YES,NO,NO
'\'(-inf-22.9]\'',MALE,INNER_CITY,'\'(-inf-10825.799]\'',NO,'\'(-inf-0.3]\'',NO,NO,YES,NO,YES
'\'(32.7-37.6]\'',MALE,INNER_CITY,'\'(28260.566-34072.155]\'',YES,'\'(2.7-inf)\'',YES,YES,YES,YES,YES
'\'(57.2-62.1]\'',FEMALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(1.8-2.1]\'',NO,YES,NO,YES,NO
'\'(62.1-inf)\'',FEMALE,INNER_CITY,'\'(51506.922-57318.511]\'',NO,'\'(1.8-2.1]\'',YES,YES,YES,NO,YES
'\'(57.2-62.1]\'',FEMALE,RURAL,'\'(34072.155-39883.744]\'',NO,'\'(1.8-2.1]\'',YES,NO,NO,NO,YES
'\'(42.5-47.4]\'',FEMALE,TOWN,'\'(22448.977-28260.566]\'',NO,'\'(-inf-0.3]\'',NO,YES,YES,YES,NO
'\'(57.2-62.1]\'',MALE,INNER_CITY,'\'(45695.333-51506.922]\'',YES,'\'(0.9-1.2]\'',YES,YES,YES,YES,YES
'\'(27.8-32.7]\'',FEMALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(-inf-0.3]\'',YES,NO,YES,NO,NO
'\'(57.2-62.1]\'',FEMALE,TOWN,'\'(34072.155-39883.744]\'',YES,'\'(1.8-2.1]\'',YES,YES,NO,NO,YES
'\'(47.4-52.3]\'',FEMALE,TOWN,'\'(16637.388-22448.977]\'',NO,'\'(2.7-inf)\'',NO,YES,YES,NO,YES
'\'(27.8-32.7]\'',MALE,INNER_CITY,'\'(22448.977-28260.566]\'',NO,'\'(2.7-inf)\'',NO,NO,YES,NO,NO
'\'(27.8-32.7]\'',FEMALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(0.9-1.2]\'',NO,YES,YES,NO,NO
'\'(32.7-37.6]\'',MALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(0.9-1.2]\'',NO,YES,YES,NO,YES
'\'(57.2-62.1]\'',MALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(-inf-0.3]\'',NO,NO,YES,YES,YES
'\'(32.7-37.6]\'',MALE,INNER_CITY,'\'(28260.566-34072.155]\'',YES,'\'(0.9-1.2]\'',YES,YES,YES,NO,YES
'\'(22.9-27.8]\'',FEMALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(-inf-0.3]\'',NO,YES,YES,NO,NO
'\'(62.1-inf)\'',FEMALE,TOWN,'\'(22448.977-28260.566]\'',NO,'\'(-inf-0.3]\'',YES,YES,YES,YES,NO
'\'(27.8-32.7]\'',MALE,SUBURBAN,'\'(10825.799-16637.388]\'',YES,'\'(-inf-0.3]\'',YES,YES,NO,YES,NO
'\'(52.3-57.2]\'',FEMALE,INNER_CITY,'\'(28260.566-34072.155]\'',YES,'\'(1.8-2.1]\'',NO,NO,YES,NO,YES
'\'(32.7-37.6]\'',MALE,TOWN,'\'(22448.977-28260.566]\'',YES,'\'(0.9-1.2]\'',YES,NO,YES,YES,YES
'\'(27.8-32.7]\'',FEMALE,INNER_CITY,'\'(22448.977-28260.566]\'',NO,'\'(1.8-2.1]\'',NO,YES,YES,YES,NO
'\'(52.3-57.2]\'',FEMALE,RURAL,'\'(34072.155-39883.744]\'',NO,'\'(-inf-0.3]\'',NO,NO,YES,NO,YES
'\'(57.2-62.1]\'',MALE,INNER_CITY,'\'(39883.744-45695.333]\'',YES,'\'(1.8-2.1]\'',YES,YES,YES,NO,NO
'\'(57.2-62.1]\'',FEMALE,INNER_CITY,'\'(39883.744-45695.333]\'',YES,'\'(-inf-0.3]\'',YES,YES,NO,NO,NO
'\'(-inf-22.9]\'',FEMALE,INNER_CITY,'\'(-inf-10825.799]\'',YES,'\'(-inf-0.3]\'',NO,YES,YES,NO,NO
'\'(-inf-22.9]\'',MALE,INNER_CITY,'\'(-inf-10825.799]\'',YES,'\'(0.9-1.2]\'',NO,NO,NO,YES,NO
'\'(32.7-37.6]\'',MALE,TOWN,'\'(28260.566-34072.155]\'',YES,'\'(1.8-2.1]\'',YES,YES,YES,YES,YES
'\'(32.7-37.6]\'',FEMALE,INNER_CITY,'\'(10825.799-16637.388]\'',NO,'\'(1.8-2.1]\'',NO,YES,YES,NO,NO
'\'(-inf-22.9]\'',FEMALE,RURAL,'\'(10825.799-16637.388]\'',YES,'\'(-inf-0.3]\'',YES,NO,YES,NO,NO
'\'(52.3-57.2]\'',MALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(0.9-1.2]\'',NO,YES,YES,YES,YES
'\'(22.9-27.8]\'',FEMALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(1.8-2.1]\'',YES,YES,YES,NO,NO
'\'(37.6-42.5]\'',MALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(-inf-0.3]\'',YES,NO,YES,YES,YES
'\'(42.5-47.4]\'',MALE,TOWN,'\'(28260.566-34072.155]\'',NO,'\'(-inf-0.3]\'',NO,YES,YES,YES,NO
'\'(62.1-inf)\'',FEMALE,INNER_CITY,'\'(34072.155-39883.744]\'',YES,'\'(0.9-1.2]\'',NO,YES,YES,NO,YES
'\'(42.5-47.4]\'',MALE,TOWN,'\'(28260.566-34072.155]\'',YES,'\'(2.7-inf)\'',YES,YES,YES,NO,NO
'\'(47.4-52.3]\'',MALE,RURAL,'\'(45695.333-51506.922]\'',YES,'\'(-inf-0.3]\'',YES,YES,NO,NO,NO
'\'(22.9-27.8]\'',MALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(-inf-0.3]\'',NO,NO,YES,NO,NO
'\'(22.9-27.8]\'',MALE,INNER_CITY,'\'(10825.799-16637.388]\'',NO,'\'(-inf-0.3]\'',NO,YES,YES,NO,YES
'\'(27.8-32.7]\'',FEMALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(1.8-2.1]\'',YES,YES,YES,YES,NO
'\'(32.7-37.6]\'',MALE,TOWN,'\'(34072.155-39883.744]\'',NO,'\'(1.8-2.1]\'',NO,YES,YES,NO,YES
'\'(32.7-37.6]\'',MALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(2.7-inf)\'',YES,NO,NO,YES,NO
'\'(47.4-52.3]\'',FEMALE,INNER_CITY,'\'(34072.155-39883.744]\'',YES,'\'(-inf-0.3]\'',YES,NO,YES,NO,NO
'\'(32.7-37.6]\'',MALE,TOWN,'\'(28260.566-34072.155]\'',NO,'\'(1.8-2.1]\'',YES,YES,YES,NO,YES
'\'(52.3-57.2]\'',MALE,INNER_CITY,'\'(39883.744-45695.333]\'',YES,'\'(0.9-1.2]\'',YES,YES,YES,NO,YES
'\'(52.3-57.2]\'',FEMALE,INNER_CITY,'\'(45695.333-51506.922]\'',YES,'\'(-inf-0.3]\'',NO,YES,YES,NO,NO
'\'(52.3-57.2]\'',FEMALE,TOWN,'\'(16637.388-22448.977]\'',YES,'\'(1.8-2.1]\'',NO,YES,NO,NO,NO
'\'(22.9-27.8]\'',MALE,INNER_CITY,'\'(-inf-10825.799]\'',YES,'\'(2.7-inf)\'',NO,YES,YES,YES,NO
'\'(37.6-42.5]\'',MALE,TOWN,'\'(16637.388-22448.977]\'',NO,'\'(-inf-0.3]\'',YES,NO,NO,NO,YES
'\'(62.1-inf)\'',FEMALE,RURAL,'\'(45695.333-51506.922]\'',YES,'\'(2.7-inf)\'',YES,YES,YES,NO,YES
'\'(42.5-47.4]\'',MALE,RURAL,'\'(28260.566-34072.155]\'',NO,'\'(1.8-2.1]\'',NO,YES,NO,YES,NO
'\'(57.2-62.1]\'',FEMALE,RURAL,'\'(51506.922-57318.511]\'',YES,'\'(0.9-1.2]\'',YES,YES,YES,NO,YES
'\'(32.7-37.6]\'',FEMALE,TOWN,'\'(16637.388-22448.977]\'',YES,'\'(0.9-1.2]\'',NO,YES,NO,YES,YES
'\'(32.7-37.6]\'',FEMALE,RURAL,'\'(28260.566-34072.155]\'',NO,'\'(0.9-1.2]\'',NO,YES,YES,NO,YES
'\'(42.5-47.4]\'',MALE,RURAL,'\'(39883.744-45695.333]\'',NO,'\'(2.7-inf)\'',YES,YES,NO,NO,YES
'\'(42.5-47.4]\'',MALE,INNER_CITY,'\'(34072.155-39883.744]\'',YES,'\'(1.8-2.1]\'',NO,NO,YES,NO,YES
'\'(32.7-37.6]\'',FEMALE,TOWN,'\'(22448.977-28260.566]\'',YES,'\'(-inf-0.3]\'',YES,YES,YES,NO,NO
'\'(47.4-52.3]\'',FEMALE,INNER_CITY,'\'(39883.744-45695.333]\'',YES,'\'(-inf-0.3]\'',NO,YES,YES,NO,NO
'\'(37.6-42.5]\'',MALE,TOWN,'\'(10825.799-16637.388]\'',YES,'\'(2.7-inf)\'',YES,YES,YES,NO,NO
'\'(22.9-27.8]\'',FEMALE,RURAL,'\'(16637.388-22448.977]\'',NO,'\'(-inf-0.3]\'',YES,YES,YES,NO,YES
'\'(42.5-47.4]\'',MALE,INNER_CITY,'\'(22448.977-28260.566]\'',NO,'\'(1.8-2.1]\'',NO,NO,YES,NO,NO
'\'(57.2-62.1]\'',MALE,RURAL,'\'(39883.744-45695.333]\'',YES,'\'(2.7-inf)\'',NO,YES,YES,YES,NO
'\'(47.4-52.3]\'',FEMALE,SUBURBAN,'\'(16637.388-22448.977]\'',NO,'\'(1.8-2.1]\'',YES,YES,YES,NO,NO
'\'(62.1-inf)\'',FEMALE,SUBURBAN,'\'(34072.155-39883.744]\'',YES,'\'(-inf-0.3]\'',YES,NO,YES,NO,NO
'\'(62.1-inf)\'',FEMALE,TOWN,'\'(57318.511-inf)\'',YES,'\'(1.8-2.1]\'',YES,YES,YES,YES,YES
'\'(52.3-57.2]\'',FEMALE,TOWN,'\'(28260.566-34072.155]\'',YES,'\'(0.9-1.2]\'',YES,YES,YES,NO,YES
'\'(-inf-22.9]\'',FEMALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(1.8-2.1]\'',YES,NO,YES,YES,NO
'\'(52.3-57.2]\'',FEMALE,INNER_CITY,'\'(34072.155-39883.744]\'',NO,'\'(-inf-0.3]\'',NO,YES,YES,NO,YES
'\'(62.1-inf)\'',FEMALE,RURAL,'\'(39883.744-45695.333]\'',YES,'\'(-inf-0.3]\'',NO,YES,YES,NO,NO
'\'(62.1-inf)\'',FEMALE,INNER_CITY,'\'(51506.922-57318.511]\'',NO,'\'(0.9-1.2]\'',NO,YES,YES,NO,YES
'\'(47.4-52.3]\'',MALE,INNER_CITY,'\'(34072.155-39883.744]\'',YES,'\'(2.7-inf)\'',NO,YES,YES,NO,NO
'\'(42.5-47.4]\'',FEMALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(-inf-0.3]\'',NO,NO,YES,NO,NO
'\'(27.8-32.7]\'',FEMALE,TOWN,'\'(16637.388-22448.977]\'',YES,'\'(0.9-1.2]\'',YES,NO,NO,YES,NO
'\'(62.1-inf)\'',MALE,TOWN,'\'(45695.333-51506.922]\'',YES,'\'(-inf-0.3]\'',YES,YES,YES,YES,NO
'\'(22.9-27.8]\'',MALE,INNER_CITY,'\'(16637.388-22448.977]\'',YES,'\'(0.9-1.2]\'',NO,YES,YES,NO,YES
'\'(57.2-62.1]\'',MALE,SUBURBAN,'\'(45695.333-51506.922]\'',YES,'\'(-inf-0.3]\'',NO,YES,NO,YES,YES
'\'(32.7-37.6]\'',MALE,TOWN,'\'(16637.388-22448.977]\'',YES,'\'(1.8-2.1]\'',YES,NO,YES,NO,NO
'\'(-inf-22.9]\'',FEMALE,INNER_CITY,'\'(16637.388-22448.977]\'',NO,'\'(1.8-2.1]\'',NO,YES,YES,NO,NO
'\'(62.1-inf)\'',MALE,RURAL,'\'(22448.977-28260.566]\'',YES,'\'(-inf-0.3]\'',YES,YES,NO,NO,NO
'\'(27.8-32.7]\'',FEMALE,SUBURBAN,'\'(22448.977-28260.566]\'',YES,'\'(2.7-inf)\'',YES,YES,YES,NO,NO
'\'(52.3-57.2]\'',MALE,RURAL,'\'(22448.977-28260.566]\'',YES,'\'(0.9-1.2]\'',YES,YES,YES,NO,YES
'\'(42.5-47.4]\'',MALE,TOWN,'\'(34072.155-39883.744]\'',NO,'\'(1.8-2.1]\'',YES,NO,YES,NO,YES
'\'(62.1-inf)\'',MALE,TOWN,'\'(51506.922-57318.511]\'',YES,'\'(1.8-2.1]\'',NO,YES,NO,YES,YES
'\'(32.7-37.6]\'',MALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(0.9-1.2]\'',NO,YES,YES,YES,YES
'\'(37.6-42.5]\'',MALE,RURAL,'\'(22448.977-28260.566]\'',NO,'\'(1.8-2.1]\'',YES,NO,NO,NO,NO
'\'(-inf-22.9]\'',FEMALE,SUBURBAN,'\'(-inf-10825.799]\'',YES,'\'(1.8-2.1]\'',NO,YES,YES,NO,YES
'\'(47.4-52.3]\'',MALE,TOWN,'\'(22448.977-28260.566]\'',YES,'\'(-inf-0.3]\'',YES,YES,YES,NO,NO
'\'(22.9-27.8]\'',MALE,RURAL,'\'(16637.388-22448.977]\'',YES,'\'(1.8-2.1]\'',YES,YES,YES,NO,NO
'\'(57.2-62.1]\'',FEMALE,TOWN,'\'(16637.388-22448.977]\'',YES,'\'(-inf-0.3]\'',NO,NO,YES,NO,YES
'\'(42.5-47.4]\'',FEMALE,TOWN,'\'(10825.799-16637.388]\'',YES,'\'(0.9-1.2]\'',NO,YES,YES,NO,YES
'\'(22.9-27.8]\'',MALE,INNER_CITY,'\'(16637.388-22448.977]\'',YES,'\'(1.8-2.1]\'',YES,YES,YES,NO,NO
'\'(37.6-42.5]\'',FEMALE,INNER_CITY,'\'(10825.799-16637.388]\'',YES,'\'(-inf-0.3]\'',NO,NO,NO,NO,NO
'\'(47.4-52.3]\'',FEMALE,TOWN,'\'(16637.388-22448.977]\'',NO,'\'(2.7-inf)\'',NO,NO,YES,NO,NO
'\'(-inf-22.9]\'',FEMALE,TOWN,'\'(-inf-10825.799]\'',NO,'\'(0.9-1.2]\'',YES,NO,YES,NO,NO
'\'(37.6-42.5]\'',FEMALE,INNER_CITY,'\'(22448.977-28260.566]\'',YES,'\'(-inf-0.3]\'',NO,NO,NO,NO,NO
'\'(22.9-27.8]\'',MALE,RURAL,'\'(22448.977-28260.566]\'',YES,'\'(0.9-1.2]\'',NO,NO,YES,YES,YES
'\'(-inf-22.9]\'',MALE,TOWN,'\'(-inf-10825.799]\'',NO,'\'(0.9-1.2]\'',NO,YES,YES,YES,NO
